,userId,movieId,rating
43036,288,7362,3.5
81812,517,33615,2.0
13775,89,58291,4.5
50556,326,48738,4.5
73679,474,2080,4.0
9331,63,6934,3.0
87152,562,2000,5.0
2350,19,378,3.0
48596,314,44,3.0
46731,306,177765,4.0
21611,140,6950,3.5
84160,536,590,3.0
2584,19,1690,1.0
51987,338,30793,2.5
95341,600,1517,3.0
69606,448,8447,1.0
36162,246,89753,5.0
24851,175,8643,4.5
65427,419,64197,5.0
6488,45,65,3.0
47110,307,2596,3.5
30463,212,114180,2.0
29200,200,30812,4.0
96415,603,1278,5.0
65517,420,3917,4.0
59852,387,4518,2.5
67659,438,648,4.0
28311,197,318,4.0
38953,268,1303,5.0
11455,68,66203,2.0
7707,51,4886,4.0
97688,606,1960,4.0
6222,42,3301,4.0
91833,596,2081,4.0
13468,86,72356,4.5
52155,339,6550,4.5
66596,428,4993,3.5
94110,599,6162,3.5
93146,599,1488,2.5
22445,153,1196,0.5
53983,356,3994,4.0
82072,520,2657,2.5
58080,380,172887,3.0
50776,328,2081,3.0
18314,116,1569,3.5
7091,49,110,4.0
63237,414,2802,3.0
58240,381,2273,4.0
54177,357,592,3.0
67775,438,2540,2.5
779,6,500,5.0
34329,232,8918,3.0
75951,477,52722,3.5
56351,372,1515,2.0
27434,186,2324,4.0
13517,88,4963,4.5
18776,121,11,4.0
55299,367,2915,4.0
18253,115,3578,5.0
60331,390,1097,1.5
26605,182,3254,3.0
92470,597,2290,5.0
30511,212,179401,4.0
19038,122,69122,4.5
4093,27,986,4.0
14983,95,4878,4.0
20259,132,58559,3.5
81325,514,4833,3.5
97179,605,1025,3.0
21315,140,2529,3.0
64395,414,31685,3.5
60190,387,41617,3.0
12477,79,307,4.0
82787,525,3996,4.5
25540,177,45720,3.5
6665,45,2011,3.0
50534,326,8958,4.5
99187,608,3745,4.0
562,6,4,3.0
1682,17,589,4.5
57901,380,89745,5.0
32186,220,5989,4.0
69539,448,6658,3.5
49585,318,71838,4.0
19147,123,59315,4.0
64431,414,34534,3.5
31671,219,1876,2.0
93529,599,2890,3.5
41822,285,441,5.0
4801,29,1945,4.5
37940,258,115617,5.0
18463,117,587,4.0
59986,387,6620,2.5
92840,599,519,2.0
47394,307,6298,2.0
22242,149,1037,3.0
72223,465,1653,4.0
25014,177,971,5.0
93943,599,4874,2.5
71811,462,5747,4.5
55528,368,1201,4.0
87849,567,5349,2.5
37476,252,2321,5.0
31700,219,2296,1.0
37074,249,80219,3.5
49225,318,4027,4.5
9856,64,6365,3.0
625,6,163,3.0
83752,534,6659,4.0
89645,580,6953,3.0
97772,606,2422,1.5
35251,237,63082,3.5
69548,448,6807,3.0
74769,474,7162,4.0
75229,475,2353,4.5
50431,325,4498,2.0
35668,240,466,4.0
66950,432,6539,0.5
82769,525,3549,3.5
399,4,1517,4.0
31539,219,153,2.5
49265,318,5238,3.5
72018,463,3977,2.0
90078,586,1265,4.5
92870,599,589,4.5
86600,561,293,4.0
76895,480,8972,3.0
69395,448,4816,3.0
29555,202,1376,4.0
55070,365,89745,2.5
81451,514,159093,4.0
98289,606,8724,4.0
57790,380,59315,5.0
32237,220,60072,2.0
9645,64,2193,3.5
67511,437,329,3.0
71598,462,953,4.0
88838,573,5903,5.0
43508,292,349,4.0
42218,288,879,2.0
58969,385,16,3.0
92074,596,102125,4.0
27711,187,7153,4.5
21133,140,376,3.0
38411,263,6377,4.5
77142,482,2124,4.0
1449,15,589,5.0
45879,304,1552,4.0
21141,140,457,4.0
31992,219,48385,3.0
28331,197,1909,4.0
50544,326,33166,4.0
35826,243,153,4.0
4313,28,1587,2.5
44039,294,518,2.0
88926,573,60684,5.0
78576,489,802,1.0
18806,121,318,5.0
94098,599,5999,2.0
50829,328,5218,2.0
15181,98,5299,3.5
95302,600,1263,5.0
28163,195,1784,4.0
98451,606,55442,4.5
18511,117,1035,4.0
81293,514,3671,4.0
78262,486,163,4.0
12139,74,8207,4.0
1990,18,5608,4.0
11272,68,44191,3.0
28169,195,1923,3.0
80457,509,2174,3.5
95357,600,1678,3.5
91354,592,380,5.0
15727,103,2918,5.0
55462,368,482,4.0
78669,489,1587,4.5
76630,480,3949,3.5
75253,475,5349,5.0
31982,219,46335,2.0
56640,376,6365,3.5
28627,199,736,3.0
23743,163,1588,4.0
80574,509,7458,2.5
46422,305,74624,4.0
34655,232,60040,3.5
51246,331,6016,5.0
4496,28,6378,2.0
86901,561,7445,3.0
83419,529,141,3.0
90291,587,830,2.0
88571,572,1198,4.0
91825,596,1876,2.5
11615,68,164179,3.5
66246,426,7361,3.5
68467,445,7143,3.5
57900,380,88744,5.0
43586,292,1968,3.0
100755,610,132046,3.0
93492,599,2718,1.5
91919,596,5459,2.5
49667,318,86293,3.5
72450,468,590,5.0
34947,234,588,5.0
53228,352,1597,3.0
79236,491,586,5.0
90429,588,36,2.0
47441,307,6881,2.0
21081,139,122886,4.0
73160,474,252,2.0
79122,490,215,4.0
30316,212,3253,4.0
83938,534,83134,4.5
95407,600,2087,3.0
51460,332,2329,3.5
23767,164,780,5.0
48046,312,750,5.0
5114,33,1280,5.0
57931,380,95858,4.0
10936,68,3863,3.0
66200,426,471,5.0
70416,448,140525,1.5
56566,376,858,4.0
47693,307,61024,4.0
24,1,441,4.0
41674,282,49530,4.5
57830,380,69844,4.0
34634,232,58025,3.0
51698,334,1610,4.0
30318,212,3868,4.5
1654,16,6350,3.5
67062,433,318,4.5
19672,128,1196,4.0
71068,453,3717,2.0
82540,524,520,3.0
82369,522,76093,3.5
96890,603,3431,1.0
85148,553,1923,3.5
41597,282,4017,4.5
45829,304,1073,4.0
46685,306,105731,2.0
5161,33,2268,4.0
80314,506,58998,5.0
5546,39,3178,3.0
86666,561,1263,4.0
90176,586,81847,4.5
54793,362,2288,5.0
24629,170,586,3.0
29453,202,741,4.0
46239,305,8810,4.5
4399,28,3250,4.0
95855,600,55052,1.5
31393,217,2863,2.0
86702,561,1704,4.0
33603,227,54259,2.5
79840,497,112183,5.0
74388,474,5013,3.5
68282,441,1089,4.5
29804,203,3671,2.5
99801,610,4027,4.5
42366,288,1393,3.0
19497,125,122918,3.5
88618,572,1894,3.0
8051,57,110,4.0
35940,244,3361,5.0
48672,314,593,3.0
51469,332,2657,4.0
98483,607,36,4.0
50862,328,46578,2.0
52297,339,86882,4.0
36525,249,2028,4.5
71488,460,8970,4.0
24567,169,6936,5.0
85075,552,3868,3.5
5483,39,1127,4.0
63192,414,2643,2.0
61452,405,1464,4.0
65452,420,1,4.0
73418,474,1210,4.0
18252,115,3555,5.0
93997,599,5128,2.5
9016,62,83369,4.0
97455,606,552,3.0
41169,279,68237,4.5
15268,99,252,5.0
26236,182,1036,4.0
50800,328,2947,3.5
30817,216,2761,2.0
95702,600,5569,3.0
30855,216,3578,4.0
4665,28,53550,2.5
51573,332,33166,4.5
79259,491,7293,4.0
46829,307,527,4.5
75371,476,195,2.0
3427,21,39715,2.5
39584,274,2085,3.5
38534,265,593,5.0
99747,610,3699,3.5
37718,255,3552,5.0
65829,424,4845,3.0
71061,453,3536,4.0
18143,114,122882,3.0
3898,23,8228,4.0
97288,605,26528,4.5
100442,610,77893,4.0
35943,244,3683,3.0
2840,19,3033,2.0
79981,500,3114,5.0
32773,222,61132,2.5
28092,195,36,4.0
57519,380,6754,4.0
59928,387,5502,2.0
87299,562,74324,4.5
98304,606,25805,4.5
4514,28,6934,3.5
42221,288,904,4.0
81745,517,4018,1.0
93790,599,4022,2.5
88917,573,54272,4.0
25643,177,65261,4.0
14765,93,1265,5.0
28140,195,1266,5.0
3032,20,1722,3.0
180,1,2716,5.0
39748,274,3177,3.5
73183,474,339,3.5
48824,317,1207,3.0
5471,39,858,4.0
32510,221,5945,4.5
92960,599,928,4.0
144,1,2268,4.0
64852,414,91630,2.0
45263,298,80463,1.5
85594,555,2241,4.0
29640,202,2401,3.0
73020,471,79132,4.0
63406,414,3408,3.0
69168,448,3254,4.0
42768,288,3363,5.0
31968,219,41716,4.0
27035,182,7153,1.0
19914,131,64614,3.5
94731,599,71579,3.0
61143,399,3578,5.0
29708,202,3070,3.0
71346,457,3793,3.0
64594,414,51077,2.5
99688,610,2762,4.5
96223,603,509,5.0
83006,525,71535,3.5
10359,67,152081,4.0
52466,342,1013,2.0
81630,517,1250,0.5
83154,526,68954,3.5
38213,262,334,3.0
35254,237,91658,3.0
37178,249,93363,3.5
44580,298,785,3.0
23416,160,1653,5.0
20476,135,1917,1.0
17683,111,86293,3.5
44750,298,3717,2.5
43044,288,8372,3.0
25064,177,1258,4.0
85831,555,3703,4.0
1517,15,50872,3.0
4325,28,1729,2.5
38453,264,316,3.5
38273,263,745,5.0
1192,10,59421,2.0
9352,63,31658,4.0
5053,33,232,4.0
94235,599,7099,3.0
19811,129,35836,4.0
56280,372,1196,4.0
6424,43,1064,5.0
6417,43,648,5.0
46603,305,158783,0.5
90408,587,3421,1.0
97144,605,2,3.5
48111,312,1674,4.0
55707,368,2542,3.0
14912,95,1274,5.0
80061,502,3052,4.0
67184,434,2291,4.0
23832,165,5066,3.0
65590,420,57640,3.5
27498,186,3988,4.0
65118,416,4886,0.5
37303,249,110553,3.5
14850,94,344,3.0
2941,19,3671,3.0
41958,286,7153,5.0
305,4,58,3.0
50177,323,116797,4.5
33813,230,2915,1.0
5929,42,364,4.0
8852,62,3994,4.5
59176,386,44,2.0
76487,480,2231,3.5
28059,193,7153,4.0
84985,552,1729,3.5
48202,312,4370,4.0
38816,266,2700,5.0
78691,489,1917,3.5
2657,19,2048,3.0
51554,332,7458,3.0
58872,383,2324,5.0
7727,51,6371,0.5
35358,239,1089,5.0
21753,141,3175,4.0
41996,287,1208,3.5
92535,597,2599,5.0
30149,210,122904,3.5
6394,43,500,5.0
63233,414,2793,2.0
67205,434,3052,4.5
6051,42,1597,4.0
81173,514,1587,3.0
32661,222,1954,3.0
71649,462,1327,1.5
50149,323,1377,2.0
71890,462,39183,4.5
28763,199,2527,3.0
94380,599,26593,2.0
59062,385,671,3.0
90062,586,539,3.5
5537,39,2762,5.0
23662,160,7153,5.0
32491,221,4467,4.5
76732,480,5152,2.0
92223,597,562,4.0
26687,182,3836,4.0
60793,392,1125,2.0
12114,74,6235,5.0
52591,344,586,5.0
4012,25,231,4.0
67267,434,8874,4.5
95946,601,106782,4.5
24210,167,8984,0.5
48054,312,968,5.0
14119,90,1417,3.0
1326,12,256,5.0
22536,153,68954,2.5
9424,63,112852,4.0
10562,68,1228,2.0
35456,239,3527,3.0
4591,28,34150,3.0
87807,567,1196,2.0
60050,387,7323,3.5
63840,414,5013,4.0
43535,292,733,4.0
12808,82,1690,3.5
14825,94,39,1.0
84244,538,69844,4.0
49038,318,741,3.5
50954,330,32,5.0
58234,381,2133,3.5
61199,401,1,3.5
80407,509,1015,3.0
49728,318,97306,4.5
61297,402,477,3.0
42728,288,3114,4.0
48568,313,5010,5.0
642,6,204,3.0
79658,495,46970,3.5
1427,14,553,4.0
32276,221,431,4.5
34919,234,158,5.0
80888,510,1882,0.5
50292,325,1527,3.0
36635,249,4015,3.0
14875,95,25,5.0
88036,567,109897,0.5
74860,474,7981,4.0
98903,608,1464,2.0
1088,9,2023,3.0
23143,159,539,3.0
37557,254,47,4.5
50855,328,33794,1.0
91670,594,5957,5.0
4397,28,3198,3.0
2992,20,588,5.0
15192,98,50872,5.0
82548,524,589,5.0
55800,368,3519,2.0
72533,469,924,5.0
19243,125,593,4.0
72513,469,736,3.0
60353,390,3408,4.0
19683,129,110,4.0
53755,354,5669,4.0
11934,73,79091,3.5
7761,51,39414,4.0
67142,434,1206,4.5
83294,527,2987,2.0
30082,210,7812,4.0
60725,391,3897,4.0
46945,307,1326,0.5
90316,587,1256,1.0
40941,275,5258,2.0
88128,567,151687,0.5
9728,64,3301,3.0
38500,264,33493,4.0
75794,477,5171,3.0
73001,471,527,4.5
49234,318,4310,3.0
89617,580,6287,2.5
61290,402,376,4.0
33504,226,34048,2.0
88028,567,108689,0.5
75306,475,60040,4.5
41186,279,88129,3.5
42900,288,4412,1.0
57249,380,2968,4.0
18770,120,1073,2.0
75457,477,356,5.0
65291,418,117176,4.5
62682,414,1050,4.0
85952,558,3285,4.0
4786,29,1213,4.0
60243,387,53129,3.5
80922,510,4148,1.5
83430,529,761,1.0
97166,605,596,2.5
15871,103,72641,4.0
51436,332,1635,3.0
98952,608,1732,4.0
14276,91,1101,3.0
15047,96,260,5.0
58063,380,163056,4.0
100621,610,102716,4.5
21543,140,5420,3.0
37376,249,148626,4.5
59717,387,3244,3.0
35441,239,2890,4.0
82639,525,457,3.5
79300,492,7,3.0
32638,222,1225,3.0
58960,384,4326,4.0
11847,73,7438,4.0
84987,552,1909,3.0
1647,16,4878,3.5
57887,380,86644,4.0
27534,187,25,3.0
98329,606,27627,4.5
67571,437,1265,5.0
89291,579,2396,5.0
19429,125,88163,4.0
74699,474,6965,3.5
87288,562,58559,4.0
69334,448,4333,3.0
78990,489,31685,3.5
65625,421,6777,4.5
27893,190,5956,3.0
77946,483,110297,3.5
4209,28,211,3.0
21166,140,733,3.0
98360,606,32728,4.0
40813,275,2937,5.0
75013,474,26712,4.0
82934,525,42002,4.0
71379,458,316,4.0
25507,177,37727,2.5
50676,328,110,1.0
19835,130,300,3.0
87071,561,122920,3.5
51598,332,62250,4.0
67338,435,6539,4.5
94867,599,94959,4.0
3355,21,4700,3.0
80959,511,4973,4.0
6430,44,3,3.0
24922,177,235,3.0
91421,593,914,4.0
58441,381,33615,3.5
27072,183,457,5.0
76641,480,4011,3.5
25615,177,59369,3.5
94980,599,116963,1.5
43490,291,134853,1.0
52898,347,266,3.0
27833,188,2967,4.0
34205,232,6377,4.0
22556,153,95167,0.5
63653,414,4262,4.0
70539,449,2502,4.5
48509,313,3578,5.0
28260,195,4306,3.0
2903,19,3421,4.0
1108,9,5890,4.0
14527,91,3698,4.0
84539,543,637,5.0
28513,198,3448,5.0
81212,514,2087,4.0
17952,112,2028,5.0
76800,480,6539,3.0
21939,143,40962,3.0
50463,325,5544,4.0
19917,131,89745,4.0
77587,483,3999,3.5
99200,608,3864,2.0
75805,477,5445,4.0
42917,288,4815,4.0
35964,245,3114,4.0
37950,259,442,0.5
38667,266,16,5.0
45658,302,377,3.0
58493,381,48780,4.0
11421,68,60040,3.0
95409,600,2089,3.0
58350,381,5378,3.5
75126,474,45499,4.5
5484,39,1136,4.0
90785,590,2010,4.0
848,6,837,3.0
13863,89,92643,5.0
96103,603,17,3.0
24008,166,7373,4.0
63485,414,3707,3.0
24048,166,51935,4.5
86385,560,33794,3.5
97909,606,3578,3.5
67353,435,80463,4.5
69671,448,34150,2.0
55408,368,95,2.0
11245,68,34162,5.0
21371,140,3178,5.0
9751,64,3785,2.5
10735,68,2294,3.0
10673,68,1917,3.0
25172,177,2338,2.0
83395,528,75805,2.5
32163,220,4011,4.0
47912,309,7143,4.0
11365,68,54999,3.5
85577,555,2121,3.0
30895,217,34,4.0
61118,398,81845,5.0
98742,608,374,0.5
5865,41,122882,2.5
39681,274,2710,2.0
71377,458,296,4.0
60790,391,5575,2.0
80030,501,662,3.0
69762,448,58559,3.5
3928,24,1639,3.0
6070,42,1704,5.0
26765,182,4235,5.0
93815,599,4132,1.5
24477,169,4142,3.5
37076,249,80463,4.0
75167,474,49666,3.0
100660,610,106920,5.0
55201,366,48516,4.5
85056,552,3175,4.0
98955,608,1754,4.0
63981,414,5531,2.5
43260,290,951,5.0
80001,501,15,1.0
50274,325,1260,4.0
51739,334,5902,3.5
38524,265,491,3.0
31538,219,150,4.0
75178,474,51884,4.0
49829,318,143896,4.5
73780,474,2369,3.0
8435,57,3030,5.0
4488,28,5955,3.0
100682,610,110746,4.0
23551,160,2918,2.0
38003,260,1175,4.0
80369,508,2872,1.5
33110,226,542,3.0
72319,466,6281,4.0
60095,387,8154,4.0
31800,219,4270,2.5
47298,307,4893,3.0
38077,260,5219,3.0
33219,226,2003,3.5
91657,594,4991,4.0
65537,420,6333,3.5
55979,369,27904,5.0
57307,380,3615,3.0
32677,222,2710,1.0
5399,38,237,3.0
19155,123,80463,4.5
38727,266,1197,4.0
1671,17,110,4.5
34735,232,72129,3.0
59761,387,3608,3.0
25473,177,25856,3.5
69373,448,4638,4.0
65775,424,1221,2.5
61793,409,2713,2.0
40976,275,6218,5.0
73254,474,628,3.0
52013,339,47,4.5
41101,279,1291,4.5
99790,610,3994,4.5
77147,482,2408,3.0
30533,213,1721,4.0
68065,438,6879,4.0
27322,186,500,4.0
77315,483,778,4.5
66021,425,1690,3.5
14297,91,1219,5.0
58113,381,260,3.5
15664,103,1358,4.0
41380,280,45722,3.5
82528,524,405,2.0
13809,89,72701,4.0
87191,562,2908,4.0
82517,524,318,1.0
11253,68,39183,2.0
69994,448,91094,3.5
31220,217,1954,2.0
31680,219,1968,3.0
20638,136,168,4.0
18827,121,592,3.0
97681,606,1923,3.0
63511,414,3791,4.0
2933,19,3584,2.0
65808,424,2797,3.5
44987,298,8784,2.5
8671,59,1247,5.0
94762,599,78499,2.5
3524,21,91535,3.5
65675,422,2959,4.0
79937,500,1148,4.0
42303,288,1222,3.0
47104,307,2542,3.0
69870,448,78499,5.0
452,4,2791,5.0
91123,590,7573,2.5
82939,525,44555,4.5
46296,305,50442,4.0
42556,288,2371,1.0
85074,552,3798,3.0
97182,605,1032,1.0
70745,452,2115,5.0
8746,60,2724,3.0
47949,310,1304,5.0
49019,318,441,4.5
57231,380,2797,3.0
38905,268,47,3.0
19619,126,480,3.0
86144,560,367,4.0
67989,438,5580,3.5
65877,424,106782,4.0
81987,520,256,3.0
23614,160,3869,3.0
62282,413,35836,5.0
53430,352,93363,2.0
20961,139,7147,1.5
11035,68,4995,3.5
29953,206,736,3.0
88522,572,1,4.0
58149,381,673,3.0
12345,76,30707,4.0
40604,275,357,4.0
88510,571,3021,2.0
78842,489,3994,1.0
90049,586,110,5.0
16954,106,59315,3.5
22646,155,592,3.0
69236,448,3705,2.0
9289,63,4226,3.5
33561,227,356,5.0
48327,313,1222,5.0
99025,608,2231,5.0
15608,103,596,4.5
15799,103,6936,5.0
41925,286,3499,4.5
93937,599,4846,2.5
24202,167,8360,4.0
9053,62,103042,3.5
76822,480,6873,2.0
51445,332,1835,2.5
34164,232,5810,4.0
16027,104,2078,4.0
51629,332,97757,4.0
22904,156,2110,2.0
61729,409,858,5.0
63935,414,5400,4.0
52942,348,1208,5.0
31271,217,2174,4.0
60208,387,46572,4.5
19368,125,59784,4.0
97276,605,7373,3.0
97933,606,3855,4.5
92527,597,2541,3.0
61458,405,1805,4.0
69022,448,2382,2.0
54723,361,8972,4.0
41244,280,7,4.5
29705,202,3060,5.0
60927,393,96079,5.0
77047,480,48516,4.5
50011,322,1237,3.0
36565,249,2700,4.5
57123,380,1920,4.0
5011,32,1084,4.0
83896,534,69526,2.0
57495,380,6338,2.0
47584,307,44191,4.0
5924,42,350,4.0
78351,487,86347,1.0
28904,199,8984,3.0
54267,357,1416,4.5
80347,507,593,3.0
79706,495,87869,4.0
12692,80,96079,4.5
64364,414,27555,3.0
89198,577,2815,2.0
33860,230,35836,4.0
24341,169,318,5.0
58681,382,5952,5.0
71287,456,783,4.0
78198,484,58559,3.5
100094,610,27480,4.5
46810,307,428,4.0
23050,156,5902,4.5
89830,582,91529,4.5
69431,448,5247,4.0
98405,606,45722,2.0
7877,52,68358,5.0
14081,90,141,3.0
50306,325,1721,4.0
83433,529,786,5.0
84071,534,122892,3.5
48593,314,32,3.0
97400,606,207,3.5
52502,342,2881,4.0
25578,177,53125,4.5
93155,599,1562,1.5
31729,219,2762,2.0
73614,474,1933,3.0
50264,325,1207,4.0
59604,387,2329,4.0
37340,249,122882,5.0
35115,235,25,5.0
53357,352,52328,5.0
98352,606,31923,4.0
63148,414,2471,2.0
43804,292,63082,4.0
52277,339,79091,4.5
93242,599,1883,4.0
7742,51,7147,4.0
212,1,3440,4.0
75684,477,2699,2.5
54042,356,7419,4.0
90798,590,2082,3.0
47073,307,2335,3.5
35426,239,2502,5.0
48835,317,1485,2.0
6617,45,1391,3.0
12495,79,1222,4.0
18986,122,27706,4.0
32141,220,2716,5.0
39219,273,588,5.0
78155,484,7325,4.0
86573,560,141866,4.0
31068,217,1081,5.0
93963,599,4973,5.0
46410,305,72011,3.0
95872,601,912,4.0
87371,563,5524,3.0
97685,606,1955,4.0
95992,602,153,4.0
83416,529,95,4.0
36305,247,109487,4.0
33858,230,34162,4.5
88999,575,296,5.0
69591,448,7569,3.0
1035,8,110,3.0
49860,318,188675,3.5
90112,586,3986,4.0
32892,223,5782,4.0
30387,212,59784,4.0
25798,177,115617,5.0
13017,83,4720,0.5
9199,63,969,3.0
68796,448,1027,3.0
32674,222,2411,4.0
7059,48,168,3.5
52588,344,318,5.0
73234,474,551,3.0
37159,249,90866,4.0
48389,313,1968,2.0
78054,484,2485,3.0
70287,448,116849,2.5
52246,339,62511,4.0
77387,483,1391,3.0
47658,307,55245,3.0
27651,187,3627,5.0
59074,385,924,4.0
54059,356,33794,5.0
28319,197,1080,5.0
56613,376,2628,4.5
86729,561,2145,3.0
60439,391,353,4.0
33842,230,6539,5.0
23981,166,4993,3.5
19574,125,164909,4.0
10317,66,8636,5.0
47718,308,110,1.0
95264,600,1057,4.5
12858,82,3977,3.0
71226,455,344,3.0
7156,50,1263,3.5
64905,414,114662,3.5
61691,408,103341,1.0
39243,274,34,4.0
72215,465,1344,5.0
86080,559,524,4.0
3847,23,2019,3.0
30594,213,76251,4.5
24692,171,1051,5.0
41408,280,67087,4.0
971,7,7153,4.0
63550,414,3951,5.0
45182,298,64285,3.0
6367,43,339,4.0
39548,274,1967,4.0
40347,274,47518,3.5
79435,493,1200,4.0
12555,80,2291,4.0
18278,116,539,4.0
82285,522,2908,4.5
61069,397,6993,4.5
94036,599,5450,2.0
3414,21,31685,3.5
88866,573,8528,4.5
6637,45,1615,3.0
73639,474,1962,4.0
23858,165,5956,3.0
50339,325,2289,4.0
71161,454,904,5.0
71809,462,5669,4.5
44145,294,1500,4.0
14381,91,1961,3.5
20624,136,93,4.0
72732,469,2253,4.0
88990,574,339,4.0
61965,410,3363,3.0
63628,414,4167,4.5
95837,600,46723,2.5
10629,68,1620,3.0
6159,42,2706,5.0
67110,434,480,5.0
95090,599,176371,3.5
85191,553,49530,4.0
44302,294,2798,1.0
82803,525,4366,2.5
25027,177,1064,4.0
49458,318,52885,3.0
93900,599,4591,2.5
30965,217,444,2.0
89639,580,6863,3.0
98009,606,4572,2.0
51439,332,1676,2.0
62974,414,2018,4.0
17838,111,159441,4.5
74414,474,5266,4.0
61732,409,919,5.0
56191,372,357,4.0
88042,567,110730,0.5
22834,156,1284,5.0
49947,321,350,4.0
78827,489,3751,3.5
73701,474,2118,4.0
53446,352,102194,4.0
59688,387,2989,3.5
41771,284,303,4.0
10791,68,2692,2.0
66075,425,2959,4.5
1410,14,367,1.0
46849,307,597,3.0
97765,606,2405,3.0
23617,160,3910,5.0
64701,414,59141,4.5
50305,325,1717,3.0
8370,57,2376,3.0
7554,51,2100,4.0
43353,290,1997,4.0
37179,249,93443,4.0
43275,290,1094,4.0
17930,112,292,4.0
49098,318,1370,3.5
20975,139,8528,1.0
68534,446,317,3.0
55802,368,3529,3.0
84035,534,107406,3.5
78514,489,308,3.5
37902,257,112,3.5
82226,522,541,2.5
15854,103,61323,4.0
5892,42,144,4.0
57517,380,6721,3.0
21408,140,3737,4.0
59403,387,1204,4.0
89133,577,1320,3.0
17179,109,540,3.0
30491,212,152970,4.5
36414,249,489,3.0
71752,462,3448,2.5
85718,555,2817,3.0
9455,64,186,2.5
100121,610,31804,3.0
54506,358,605,3.0
36657,249,4470,4.0
99209,608,3953,2.0
62295,414,2,3.0
4070,27,356,5.0
73561,474,1642,1.5
59776,387,3730,5.0
55884,369,778,4.0
8403,57,2709,3.0
56522,375,2687,3.5
88604,572,1393,4.0
33081,226,277,3.0
32715,222,5507,2.5
20267,133,47,4.0
27755,187,31364,5.0
12797,82,1485,3.5
53043,350,786,4.0
83958,534,88744,4.0
4394,28,3175,1.5
2448,19,913,5.0
3418,21,33493,4.5
4211,28,253,3.0
98397,606,44301,3.5
26130,182,166,1.5
1228,10,91104,3.0
40447,274,59022,4.0
20658,136,234,3.0
82628,525,292,3.5
46641,306,45668,5.0
49576,318,71156,4.5
71340,457,3408,2.0
79603,495,5110,5.0
80823,509,111743,3.5
96438,603,1332,4.0
6225,42,3361,4.0
91429,593,1265,2.5
32814,222,96448,3.5
40045,274,6323,4.0
14998,95,5378,4.0
58857,382,160980,4.0
26024,181,296,2.0
49669,318,86548,3.5
87303,562,80831,4.0
81188,514,1961,4.0
92951,599,911,3.0
63966,414,5478,4.0
60338,390,1784,4.5
60573,391,1610,4.0
93290,599,2052,1.0
94658,599,58404,2.5
58875,383,2445,3.0
87839,567,3742,0.5
43710,292,4306,4.0
91638,594,3578,4.5
1266,11,153,3.0
41724,283,1541,3.0
70782,452,2916,4.0
11978,73,107348,1.5
60818,393,457,5.0
34796,233,2296,2.0
